x,y,strength,angle_deg,spin_deg,count
-2.3,-1.0,1.0665,-1.1006,-1.4459,1
-2.3,-0.9,0.7396,0.9176,3.917,1
-2.3,-0.8,1.0803,-2.915,-5.8894,1
-2.3,-0.7,0.8718,-9.031,-3.5452,1
-2.3,-0.6,0.5582,-2.1723,1.4934,1
-2.2,-1.0,0.8736,7.105,4.6361,1
-2.2,-0.9,0.6741,5.5537,1.4778,1
-2.2,-0.8,0.6074,0.6436,2.6121,1
-2.2,-0.7,0.6575,3.7876,1.8336,1
-2.2,-0.6,0.6999,3.4268,2.4873,1
-2.2,-0.5,0.6663,-2.3833,-0.1764,1
-2.2,-0.4,0.7597,-2.5986,0.4207,1
-2.2,-0.3,0.626,0.4797,0.2532,1
-2.2,-0.2,0.6574,-3.1411,-0.5093,1
-2.2,-0.1,0.6876,3.2316,-2.2127,1
-2.2,0.0,0.6803,-7.5995,2.0099,1
-2.2,0.1,0.7427,-2.2862,-1.0436,1
-2.2,0.2,0.5787,-12.4933,-3.0321,1
-2.2,0.3,0.6165,-6.2157,-1.3989,1
-2.2,0.4,0.5912,-6.2317,-1.8362,1
-2.2,0.5,0.5959,-4.2669,-1.2754,1
-2.2,0.6,0.6627,-4.7418,-3.2238,1
-2.2,0.7,0.5709,-10.655,-3.533,1
-2.2,0.8,0.782,-8.4318,-0.2491,1
-2.2,0.9,1.0353,-18.4999,2.3744,1
-2.2,1.0,0.9446,-11.2832,-5.5324,1
-2.1,-1.0,0.7412,-11.2106,-4.2777,1
-2.1,-0.9,0.7157,1.7685,1.91,1
-2.1,-0.8,0.6179,1.5716,1.4331,2
-2.1,-0.7,0.6036,1.9645,1.2444,1
-2.1,-0.6,0.5892,2.0014,1.3174,1
-2.1,-0.5,0.5667,1.9377,0.8414,1
-2.1,-0.4,0.5661,1.6749,0.5647,1
-2.1,-0.3,0.5789,-1.6216,-0.509,1
-2.1,-0.2,0.5563,-2.5202,-0.2959,1
-2.1,-0.1,0.5562,-2.4862,-0.255,1
-2.1,0.0,0.547,-3.3302,-0.4036,1
-2.1,0.1,0.5476,-3.4026,-0.42,1
-2.1,0.2,0.5444,-3.8377,-0.6873,1
-2.1,0.3,0.5513,-4.7183,-1.3062,1
-2.1,0.4,0.5521,-4.7855,-1.2716,1
-2.1,0.5,0.5585,-4.8814,-1.575,1
-2.1,0.6,0.5662,-5.5787,-1.9676,1
-2.1,0.7,0.5706,-5.9919,-2.1801,1
-2.1,0.8,0.5926,-6.8073,-2.5542,1
-2.1,0.9,0.7424,-10.5337,-2.8673,1
-2.1,1.0,0.6191,12.3316,-1.8049,1
-2.0,-1.0,0.5835,3.5911,-1.1467,1
-2.0,-0.9,0.5933,2.3876,1.1199,1
-2.0,-0.8,0.5279,0.9693,0.1593,1
-2.0,-0.7,0.5243,1.0822,0.1256,2
-2.0,-0.6,0.5153,0.4804,-0.0621,1
-2.0,-0.5,0.5142,0.5019,-0.0748,2
-2.0,-0.4,0.5181,-1.1648,0.0366,2
-2.0,-0.3,0.5229,-1.0421,0.0603,2
-2.0,-0.2,0.5242,-2.5472,0.0045,1
-2.0,-0.1,0.5265,-3.3686,0.0934,3
-2.0,0.0,0.5262,-3.4146,0.0869,1
-2.0,0.1,0.5286,-3.5722,0.0114,1
